smiles,activity_score
C(CS(=O)(=O)[O-])S.[Na+],0.19272161039871194
CC12CCC3C(C1CCC2(C#C)O)CCC4=C3C=CC(=C4)O,0.4381690560587428
CC1=CC(=NN1)NC2=NC(=NC=C2Cl)NC(C)C3=NC=C(C=N3)F,0.6820340624912967
CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NOC(=O)N5)C(=O)O,0.18001640981768152
CCCCOC1=CC=C(C=C1)CC(=O)NO,0.9175336450223862
CC1(C(=O)N(C(=S)N1C2=CC(=C(C=C2)C(=O)NC)F)C3=CC(=C(C=C3)C#N)C(F)(F)F)C,0.37859021328234854
CC1=C(N2C=CC=CC2=C1OC)C(=O)C3=CC(=C(C=C3)N)C(=O)[O-].[Na+],0.3606033595967634
CC(C)NCC(C1=CC=C(C=C1)NS(=O)(=O)C)O,0.2681057108804248
CN1C=NC=C1C(C2=CC=C(C=C2)Cl)(C3=CC4=C(C=C3)N(C(=O)C=C4C5=CC(=CC=C5)Cl)C)N,0.1291157140188396
CC1=C(C(C(=C(N1)C)C(=O)OCC=CC2=CC=CC=C2)C3=CC(=CC=C3)[N+](=O)[O-])C(=O)OCCOC,0.6126648209403659
CC1CN(CC(O1)C)C2=NC3=C(C=CC(=N3)C4=CC(=C(C=C4)OC)CO)C(=N2)N5CCOCC5,0.5486951607393968
CC(=O)OC1CCC2C3CCC4(C(C3CCC2=C1)CCC4(C#C)OC(=O)C)C,0.906954237674764
CN1C(=C(C2=C(S1(=O)=O)C=CS2)O)C(=O)NC3=CC=CC=N3,0.9055809392774993
C1=CC=C2C(=C1)NC3=CC=CC=C3S2,0.051370955758883396
C1=NC2=C(N1)C(=S)N=CN2,0.16038565104360714
CC12CCC3C(=CC(=O)C4C3(CC(C(C4)O)O)C)C1(CCC2C(C)(C(CCC(C)(C)O)O)O)O,0.1797792206634724
CC1(C(=O)NC2=C(O1)C=CC(=N2)NC3=NC(=NC=C3F)NC4=CC(=C(C(=C4)OC)OC)OC)C.C1=CC=C(C=C1)S(=O)(=O)O,0.22509628987618602
